Possibility,ActorName,LongestDimension,LongestDimension_m,LongestDimension_cm,Question,Answer
1,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,height (Z),0.509,50.9,"What is the length of the longest dimension (length, width, or height) of the backpack, measured in centimeters?",50.9
2,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,width (Y),2.20114,220.114,"What is the length of the longest dimension (length, width, or height) of the bed, measured in centimeters?",220.1
3,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,height (Z),0.94953,94.953,"What is the length of the longest dimension (length, width, or height) of the couch, measured in centimeters?",95.0
4,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_005V,length (X),1.00608,100.608,"What is the length of the longest dimension (length, width, or height) of the sidetable, measured in centimeters?",100.6
5,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,length (X),0.54913,54.913000000000004,"What is the length of the longest dimension (length, width, or height) of the sidetable, measured in centimeters?",54.9
6,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,height (Z),1.04424,104.424,"What is the length of the longest dimension (length, width, or height) of the suitcase, measured in centimeters?",104.4
7,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,width (Y),0.31777,31.777,"What is the length of the longest dimension (length, width, or height) of the basket, measured in centimeters?",31.8
8,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,height (Z),0.32398,32.397999999999996,"What is the length of the longest dimension (length, width, or height) of the crate, measured in centimeters?",32.4
9,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,height (Z),0.3288,32.879999999999995,"What is the length of the longest dimension (length, width, or height) of the paper bag, measured in centimeters?",32.9
10,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,height (Z),1.48496,148.496,"What is the length of the longest dimension (length, width, or height) of the plant, measured in centimeters?",148.5
11,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,height (Z),1.03357,103.35700000000001,"What is the length of the longest dimension (length, width, or height) of the heater, measured in centimeters?",103.4
12,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,width (Y),1.58131,158.131,"What is the length of the longest dimension (length, width, or height) of the couch, measured in centimeters?",158.1
13,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,width (Y),1.6740000000000002,167.4,"What is the length of the longest dimension (length, width, or height) of the table, measured in centimeters?",167.4
